,순위,제목,가수
0,1위,가까이 있어서 몰랐어,2am
1,2위,MAVERICK,더보이즈(THE BOYZ)
2,3위,strawberry moon,아이유(IU)
3,4위,Hypnotized,더보이즈(THE BOYZ)
4,5위,Russian Roulette,더보이즈(THE BOYZ)
5,6위,낮 밤 (feat. 박재범),이영지
6,7위,Savage,aespa
7,8위,잘 가라니,2am
8,9위,나비효과,볼빨간사춘기
9,10위,별거 없던 그 하루로,임창정
10,11위,너는 내 세상이었어,볼빨간사춘기
11,12위,XOXO,전소미
12,13위,Favorite (Vampire),NCT 127
13,14위,REVEAL,더보이즈(THE BOYZ)
14,15위,나 그댈위해 시 한편을 쓰겠어,케이시
15,16위,The Stealer,더보이즈(THE BOYZ)
16,17위,My Universe,Coldplay(콜드플레이)
17,18위,Cold Blooded,제시(Jessi)
18,19위,STAY,The Kid LAROI
19,20위,Rock with you,세븐틴(SEVENTEEN)
20,21위,사랑은 늘 도망가,임영웅
21,22위,Next Level,aespa
22,23위,신호등,이무진
23,24위,나의 첫사랑,다비치
24,25위,다정히 내 이름을 부르면,경서예지
25,26위,THRILL RIDE,더보이즈(THE BOYZ)
26,27위,너를 생각해,주시크 (Joosiq)
27,28위,Easy On Me,Adele(아델)
28,29위,LOCO,ITZY (있지)
29,30위,OHAYO MY NIGHT,디핵(D-Hack)
30,31위,낙하 (with 아이유),AKMU(악뮤)
31,32위,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta(데이빗 게타)
32,33위,못 자,2am
33,34위,우리의 이야기,멜로망스(MeloMance)
34,35위,청혼,2am
35,36위,찬란한 계절,폴킴(Paul Kim)
36,37위,Permission to Dance,방탄소년단
37,38위,그래도 사랑이었잖아,거미
38,39위,Weekend,태연 (TAEYEON)
39,40위,Always Me,2am
40,41위,가르치지마,에일리(Ailee)
41,42위,Bad Habits,Ed Sheeran(에드 시런)
42,43위,Butter,방탄소년단
43,44위,색안경 (STEREOTYPE),STAYC(스테이씨)
44,45위,바라만 본다,MSG워너비(M.O.M)
45,46위,Queendom,Red Velvet (레드벨벳)
46,47위,환상열차 (Out Of Control),더보이즈(THE BOYZ)
47,48위,Celebrity,아이유(IU)
48,49위,"Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber(저스틴 비버)
49,50위,Better,보아 (BoA)
50,51위,Dun Dun Dance,오마이걸(OH MY GIRL)
51,52위,라일락,아이유(IU)
52,53위,고백,멜로망스(MeloMance)
53,54위,Shivers,Ed Sheeran(에드 시런)
54,55위,ASAP,STAYC(스테이씨)
55,56위,비가 오는 날엔 (2021),헤이즈(Heize)
56,57위,내 기억 속에 남아 있는 그대 모습은,산들
57,58위,Dynamite,방탄소년단
58,59위,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌
59,60위,가을 타나 봐,이무진
60,61위,GLASSY,조유리
61,62위,잘 있니,수안
62,63위,DUMB DUMB,전소미
63,64위,Black Mamba,aespa
64,65위,헤픈 우연,헤이즈(Heize)
65,66위,바람,최유리
66,67위,B.O.Y (Bet On You),더보이즈(THE BOYZ)
67,68위,가까운 듯 먼 그대여,카더가든
68,69위,Off My Face,Justin Bieber(저스틴 비버)
69,70위,산책,백예린 (Yerin Baek)
70,71위,밤새 니가 내려,케이시
71,72위,Merry Bad Ending,더보이즈(THE BOYZ)
72,73위,The Feels,TWICE (트와이스)
73,74위,사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),이해리
74,75위,에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
75,76위,비와 당신,이무진
76,77위,사랑했던 우리가 어떻게 친구가 되니,송하예
77,78위,좋아좋아,조정석
78,79위,미워지지가 않아 (Unhateable),노을
79,80위,찰나가 영원이 될 때 (The Eternal Moment),마크툽(MAKTUB)
80,81위,Blueming,아이유(IU)
81,82위,너의 그 사람,박재정
82,83위,어푸 (Ah puh),아이유(IU)
83,84위,가을 우체국 앞에서,김대명
84,85위,Antifreeze,백예린 (Yerin Baek)
85,86위,롤린 (Rollin'),브레이브걸스(Brave Girls)
86,87위,고백,장범준
87,88위,내 손을 잡아,아이유(IU)
88,89위,Nightmares (黑花),더보이즈(THE BOYZ)
89,90위,그리워 그리워,이예준
90,91위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
91,92위,Lovesick Girls,BLACKPINK
92,93위,나는 트로트가 싫어요,임창정
93,94위,내 곁으로 사는 건,임창정
94,95위,빨간 립스틱 (Feat. 윤미래),이하이
95,96위,Loving You Girl (feat. Hkeem),Peder Elias
96,97위,한계,백예린 (Yerin Baek)
97,98위,To the Moon (Feat. UNEDUCATED KID),염따
98,99위,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
99,100위,Kiss Me More (feat. SZA),Doja Cat(도자 캣)
