,순위,제목,가수
0,1위,별거 없던 그 하루로,임창정
1,2위,사랑은 늘 도망가,임영웅
2,3위,strawberry moon,아이유 (IU)
3,4위,이제 나만 믿어요,임영웅
4,5위,Rock with you,세븐틴 (SEVENTEEN)
5,6위,가까이 있어서 몰랐어,2am
6,7위,다시 사랑한다면 (김필 Ver.),임영웅
7,8위,별빛 같은 나의 사랑아,임영웅
8,9위,그대라는 사치,임영웅
9,10위,HERO,임영웅
10,11위,끝사랑,임영웅
11,12위,Bk Love,임영웅
12,13위,잊었니,임영웅
13,14위,Savage,aespa
14,15위,문득,BE'O (비오)
15,16위,나비효과,볼빨간사춘기
16,17위,계단말고 엘리베이터,임영웅
17,18위,다정히 내 이름을 부르면,경서예지 & 전건호
18,19위,소용돌이,세븐틴 (SEVENTEEN)
19,20위,Crush,세븐틴 (SEVENTEEN)
20,21위,너를 생각해,주시크 (Joosiq)
21,22위,매일 그대라서 행복하다,세븐틴 (SEVENTEEN)
22,23위,여전히 아름다운지,세븐틴 (SEVENTEEN)
23,24위,그리워하는 것까지,세븐틴 (SEVENTEEN)
24,25위,PANG!,세븐틴 (SEVENTEEN)
25,26위,Stay,The Kid LAROI & Justin Bieber
26,27위,2 MINUS 1 (Digital Only),세븐틴 (SEVENTEEN)
27,28위,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO
28,29위,신호등,이무진
29,30위,My Universe,Coldplay & 방탄소년단
30,31위,Favorite (Vampire),NCT 127
31,32위,MAVERICK,더보이즈 (THE BOYZ)
32,33위,Ready to love,세븐틴 (SEVENTEEN)
33,34위,Next Level,aespa
34,35위,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will)
35,36위,나의 첫사랑,다비치
36,37위,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta
37,38위,바라만 본다,MSG워너비 (M.O.M)
38,39위,Permission to Dance,방탄소년단
39,40위,낙하 (With 아이유),AKMU (악뮤)
40,41위,잘 가라니,2am
41,42위,만개 (Prod. 신지후),김호중
42,43위,나보다 더 사랑해요,김호중
43,44위,Butter,방탄소년단
44,45위,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub)
45,46위,너는 내 세상이었어,볼빨간사춘기
46,47위,고백,멜로망스 (MeloMance)
47,48위,Hypnotized,더보이즈 (THE BOYZ)
48,49위,Bad Habits,Ed Sheeran
49,50위,살았소,김호중
50,51위,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy)
51,52위,Russian Roulette,더보이즈 (THE BOYZ)
52,53위,Dynamite,방탄소년단
53,54위,고맙소,김호중
54,55위,우산이 없어요,김호중
55,56위,아무도 잠들지 마라 (Nessun Dorma),김호중
56,57위,할무니,김호중
57,58위,헤픈 우연,헤이즈 (Heize)
58,59위,Weekend,태연 (TAEYEON)
59,60위,그리워 그리워,이예준
60,61위,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
61,62위,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
62,63위,퇴근길,김호중
63,64위,Sticker,NCT 127
64,65위,무정부르스,김호중
65,66위,연인,김호중
66,67위,보릿고개,김호중
67,68위,가을 타나 봐,이무진
68,69위,여자의 마음 (La Donna E Mobile),김호중
69,70위,Brand (Feat. 래원 (Layone)),BE'O (비오)
70,71위,비와 당신,이무진
71,72위,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단
72,73위,라일락,아이유 (IU)
73,74위,Cold Blooded,제시
74,75위,좋아좋아,조정석
75,76위,Love On The Floor,NCT 127
76,77위,Celebrity,아이유 (IU)
77,78위,가을 우체국 앞에서,김대명
78,79위,Pilot,NCT 127
79,80위,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들
80,81위,밝게 빛나는 별이 되어 비춰줄게,송이한
81,82위,너의 모습,정동하
82,83위,Lemonade,NCT 127
83,84위,THRILL RIDE,더보이즈 (THE BOYZ)
84,85위,비가 오는 날엔 (2021),헤이즈 (Heize)
85,86위,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
86,87위,혼자 사랑하고 미워해,백예슬
87,88위,서툰 이별을 하려해 (Feat. 전상근),윤토벤 (YounToven)
88,89위,B.O.Y (Bet On You),더보이즈 (THE BOYZ)
89,90위,내 손을 잡아,아이유 (IU)
90,91위,Nightmares (黑花),더보이즈 (THE BOYZ)
91,92위,REVEAL,더보이즈(THE BOYZ)
92,93위,환상열차 (Out Of Control),더보이즈 (THE BOYZ)
93,94위,Queendom,Red Velvet (레드벨벳)
94,95위,진또배기,이찬원
95,96위,추억은 만남보다 이별에 남아,정동하
96,97위,힘을 내세요,이찬원
97,98위,봄날,방탄소년단
98,99위,편의점,이찬원
99,100위,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub)
