,순위,제목,가수
0,1위,strawberry moon,아이유
1,2위,Savage,aespa
2,3위,STAY,The Kid LAROI
3,4위,신호등,Justin Bieber
4,5위,다정히 내 이름을 부르면,이무진
5,6위,Next Level,경서예지
6,7위,My Universe,전건호
7,8위,OHAYO MY NIGHT,aespa
8,9위,낙하 (with 아이유),Coldplay
9,10위,사랑은 늘 도망가,방탄소년단
10,11위,너를 생각해,디핵 (D-Hack)
11,12위,바라만 본다,PATEKO (파테코)
12,13위,Permission to Dance,AKMU (악뮤)
13,14위,Weekend,임영웅
14,15위,Butter,주시크 (Joosiq)
15,16위,Bad Habits,MSG워너비(M.O.M)
16,17위,Peaches (Feat. Daniel Caesar & Giveon),방탄소년단
17,18위,헤픈 우연,태연 (TAEYEON)
18,19위,고백,방탄소년단
19,20위,시간을 거슬러 (낮에 뜨는 달 X 케이윌),Ed Sheeran
20,21위,Dynamite,Justin Bieber
21,22위,좋아좋아,헤이즈 (Heize)
22,23위,Rock with you,멜로망스
23,24위,라일락,케이윌
24,25위,Celebrity,방탄소년단
25,26위,DUMB DUMB,조정석
26,27위,찰나가 영원이 될 때 (The Eternal Moment),세븐틴
27,28위,Queendom,아이유
28,29위,나비효과,아이유
29,30위,가을 타나 봐,전소미
30,31위,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",마크툽 (MAKTUB)
31,32위,롤린 (Rollin'),Red Velvet (레드벨벳)
32,33위,비가 오는 날엔 (2021),볼빨간사춘기
33,34위,비와 당신,이무진
34,35위,Dun Dun Dance,호미들
35,36위,내 손을 잡아,브레이브걸스
36,37위,이제 나만 믿어요,헤이즈 (Heize)
37,38위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",이무진
38,39위,밝게 빛나는 별이 되어 비춰줄게,오마이걸 (OH MY GIRL)
39,40위,Off My Face,아이유
40,41위,너는 내 세상이었어,임영웅
41,42위,추억은 만남보다 이별에 남아,AKMU (악뮤)
42,43위,ASAP,송이한
43,44위,가을 우체국 앞에서,Justin Bieber
44,45위,밤하늘의 별을(2020),볼빨간사춘기
45,46위,하루만 더,정동하
46,47위,Cold Blooded,STAYC(스테이씨)
47,48위,Blueming,김대명
48,49위,색안경 (STEREOTYPE),경서
49,50위,"모든 날, 모든 순간 (Every day, Every Moment)",빅마마
50,51위,나의 첫사랑,제시 (Jessi)
51,52위,Favorite (Vampire),아이유
52,53위,LOCO,STAYC(스테이씨)
53,54위,여전히 아름다운지,폴킴
54,55위,Savage Love (Laxed - Siren Beat) (BTS Remix),다비치
55,56위,취기를 빌려 (취향저격 그녀 X 산들),NCT 127
56,57위,멜로디,ITZY (있지)
57,58위,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),세븐틴
58,59위,나 그댈위해 시 한편을 쓰겠어,Jawsh 685
59,60위,Lovesick Girls,Jason Derulo
60,61위,에잇(Prod.&Feat. SUGA of BTS),방탄소년단
61,62위,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),산들
62,63위,"Hey Mama (Feat. Nicki Minaj, Bebe Rexha & Afrojack)",ASH ISLAND
63,64위,그날에 나는 맘이 편했을까,마크툽 (MAKTUB)
64,65위,잠이 오질 않네요,케이시 (Kassy)
65,66위,그대라는 사치,BLACKPINK
66,67위,봄날,아이유
67,68위,오래된 노래,방탄소년단
68,69위,Timeless,David Guetta
69,70위,그리워 그리워,이예준
70,71위,아로하,장범준
71,72위,METEOR,임영웅
72,73위,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,방탄소년단
73,74위,사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),스탠딩 에그
74,75위,어푸 (Ah puh),SG 워너비
75,76위,다시 사랑한다면 (김필 Ver.),이예준
76,77위,운전만해 (We Ride),조정석
77,78위,2002,창모 (CHANGMO)
78,79위,Life Goes On,장범준
79,80위,안녕 (Hello),이해리 (다비치)
80,81위,별빛 같은 나의 사랑아,아이유
81,82위,역겹겠지만 (Remember me),임영웅
82,83위,치맛바람 (Chi Mat Ba Ram),브레이브걸스
83,84위,잊었니,Anne-Marie
84,85위,낮 밤 (feat. 박재범),방탄소년단
85,86위,HERO,조이 (JOY)
86,87위,고백,임영웅
87,88위,Alcohol-Free,B.I
88,89위,사실 나는 (Feat.전건호),브레이브걸스
89,90위,The Youngest Day,임영웅
90,91위,끝사랑,이영지
91,92위,XOXO,임영웅
92,93위,너의 번호를 누르고 (Prod. 영화처럼),신용재 (2F)
93,94위,너의 모습,TWICE (트와이스)
94,95위,12:45 (Stripped),경서예지
95,96위,Bk Love,김나영
96,97위,고백,임영웅
97,98위,상상더하기,전소미
98,99위,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",#안녕
99,100위,소용돌이,정동하
100,,,Etham
101,,,임영웅
102,,,10CM
103,,,라붐 (LABOUM)
104,,,양요섭
105,,,정은지
106,,,세븐틴
