sido,sgg_nm,sx,age,date,single_person_hh,house_total_num,detached_house,apartment,townhouse,multiplex_house,house_in_commercial,not_in_house
서울특별시,종로구,계,합계,2017,23638,19260,11234,2992,887,3279,868,4378
서울특별시,종로구,계,20세 미만,2017,507,459,379,11,11,38,20,48
서울특별시,종로구,계,20~24,2017,2992,2519,1773,158,44,340,204,473
서울특별시,종로구,계,25~29,2017,3627,2845,1677,398,77,552,141,782
서울특별시,종로구,계,30~34,2017,2552,1970,1024,357,64,449,76,582
서울특별시,종로구,계,35~39,2017,1796,1418,721,235,73,330,59,378
서울특별시,종로구,계,40~44,2017,1518,1208,617,270,56,227,38,310
서울특별시,종로구,계,45~49,2017,1723,1380,758,253,79,252,38,343
서울특별시,종로구,계,50~54,2017,1540,1238,703,206,82,197,50,302
서울특별시,종로구,계,55~59,2017,1660,1305,771,244,55,179,56,355
서울특별시,종로구,계,60~64,2017,1471,1161,669,200,80,161,51,310
서울특별시,종로구,계,65~69,2017,1151,963,530,173,60,159,41,188
서울특별시,종로구,계,70~74,2017,1065,927,549,155,67,124,32,138
서울특별시,종로구,계,75~79,2017,998,911,524,151,64,140,32,87
서울특별시,종로구,계,80~84,2017,608,561,313,104,45,83,16,47
서울특별시,종로구,계,85세 이상,2017,430,395,226,77,30,48,14,35
서울특별시,종로구,남자,합계,2017,11594,9013,5565,1282,315,1407,444,2581
서울특별시,종로구,남자,20세 미만,2017,191,178,159,X,X,8,X,13
서울특별시,종로구,남자,20~24,2017,1138,986,731,50,13,124,68,152
서울특별시,종로구,남자,25~29,2017,2082,1652,1029,187,40,308,88,430
서울특별시,종로구,남자,30~34,2017,1374,1055,533,202,36,233,51,319
서울특별시,종로구,남자,35~39,2017,967,767,409,126,31,168,33,200
서울특별시,종로구,남자,40~44,2017,824,628,338,147,24,97,22,196
서울특별시,종로구,남자,45~49,2017,982,745,452,122,31,117,23,237
서울특별시,종로구,남자,50~54,2017,931,697,444,93,30,97,33,234
서울특별시,종로구,남자,55~59,2017,947,691,449,109,22,75,36,256
서울특별시,종로구,남자,60~64,2017,756,540,350,80,20,57,33,216
서울특별시,종로구,남자,65~69,2017,502,371,244,49,17,39,22,131
서울특별시,종로구,남자,70~74,2017,372,275,165,47,17,34,12,97
서울특별시,종로구,남자,75~79,2017,287,221,137,37,15,24,8,66
서울특별시,종로구,남자,80~84,2017,146,120,73,13,8,20,6,26
서울특별시,종로구,남자,85세 이상,2017,95,87,52,16,8,6,5,8
서울특별시,종로구,여자,합계,2017,12044,10247,5669,1710,572,1872,424,1797
서울특별시,종로구,여자,20세 미만,2017,316,281,220,7,8,30,16,35
서울특별시,종로구,여자,20~24,2017,1854,1533,1042,108,31,216,136,321
서울특별시,종로구,여자,25~29,2017,1545,1193,648,211,37,244,53,352
서울특별시,종로구,여자,30~34,2017,1178,915,491,155,28,216,25,263
서울특별시,종로구,여자,35~39,2017,829,651,312,109,42,162,26,178
서울특별시,종로구,여자,40~44,2017,694,580,279,123,32,130,16,114
서울특별시,종로구,여자,45~49,2017,741,635,306,131,48,135,15,106
서울특별시,종로구,여자,50~54,2017,609,541,259,113,52,100,17,68
서울특별시,종로구,여자,55~59,2017,713,614,322,135,33,104,20,99
서울특별시,종로구,여자,60~64,2017,715,621,319,120,60,104,18,94
서울특별시,종로구,여자,65~69,2017,649,592,286,124,43,120,19,57
서울특별시,종로구,여자,70~74,2017,693,652,384,108,50,90,20,41
서울특별시,종로구,여자,75~79,2017,711,690,387,114,49,116,24,21
서울특별시,종로구,여자,80~84,2017,462,441,240,91,37,63,10,21
