선명,역이름,법정동,지역명,위도,경도,지역코드,동코드
1호선,소요산역,상봉암동,동두천시,37.9488831816783,127.061119494763,41250,41250109
1호선,동두천역,동두천동,동두천시,37.9276060650776,127.054914346206,41250,41250107
1호선,보산역,보산동,동두천시,37.9141449311302,127.057156006911,41250,41250106
1호선,동두천중앙역,생연동,동두천시,37.9017663228673,127.056418741871,41250,41250103
1호선,지행역,지행동,동두천시,37.8918743050254,127.055660861893,41250,41250102
1호선,덕정역,덕정동,양주시,37.8431840486326,127.061554773951,41630,41630110
1호선,덕계역,덕계동,양주시,37.8187525902328,127.056673506557,41630,41630116
1호선,양주역,남방동,양주시,37.7741241429389,127.044721308837,41630,41630103
1호선,녹양역,녹양동,의정부시,37.7593852598143,127.042261194277,41150,41150111
1호선,가능역,가능동,의정부시,37.7483927208896,127.044274646711,41150,41150110
의정부경전철,흥선역,가능동,의정부시,37.7432776750286,127.037169082949,41150,41150110
1호선,의정부역,의정부동,의정부시,37.7383552881432,127.045947746215,41150,41150101
의정부경전철,경전철의정부역,의정부동,의정부시,37.7372571103071,127.043292348168,41150,41150101
의정부경전철,의정부시청역,의정부동,의정부시,37.7392240282409,127.034829933565,41150,41150101
의정부경전철,의정부중앙역,의정부동,의정부시,37.7436695049384,127.0496498053,41150,41150101
1호선,회룡역,호원동,의정부시,37.7237950762834,127.047277212627,41150,41150102
1호선,망월사역,호원동,의정부시,37.7102083547787,127.047404669624,41150,41150102
의정부경전철,회룡역,호원동,의정부시,37.7237950762834,127.047277212627,41150,41150102
의정부경전철,범골역,호원동,의정부시,37.7287878565888,127.043650414579,41150,41150102
1호선,도봉산역,도봉동,도봉구,37.6895585326698,127.046053675471,11320,11320108
1호선,도봉역,도봉동,도봉구,37.6791974925121,127.045525808977,11320,11320108
7호선,도봉산역,도봉동,도봉구,37.6895585326698,127.046053675471,11320,11320108
1호선,방학역,방학동,도봉구,37.6674311601371,127.044317183294,11320,11320106
1호선,창동역,창동,도봉구,37.653320494324,127.047640454654,11320,11320107
1호선,녹천역,창동,도봉구,37.6446334490218,127.051374087263,11320,11320107
4호선,창동역,창동,도봉구,37.653320494324,127.047640454654,11320,11320107
4호선,쌍문역,창동,도봉구,37.6485317952362,127.034651559958,11320,11320107
1호선,월계역,월계동,노원구,37.6332595324731,127.058843478444,11350,11350102
1호선,광운대역,월계동,노원구,37.6238337612372,127.061690626596,11350,11350102
1호선,석계역,월계동,노원구,37.6150019340823,127.065670206166,11350,11350102
경춘선,광운대역,월계동,노원구,37.6238337612372,127.061690626596,11350,11350102
