,store,sido-gu,park,address,phone
0,칠곡휴게소 서울방향,경상북도,[],경상북도 칠곡군 왜관읍 경부고속도로 158,054.975.1883
1,칠곡휴게소 부산방향,경상북도,[],경상북도 칠곡군 왜관읍 경부고속도로 159,054.975.2277
2,전주삼천,전라북도,[],전라북도 전주시 완산구 용리로 54,063.227.8497
3,덕소라임스퀘어,경기도,[],"경기 남양주시 와부읍 덕소로97번길 67, 라임스퀘어빌딩",031.577.8397
4,죽전휴게소 서울방향,경기도,[],경기도 용인시 수지구 경부고속도로 400,031.262.8722
5,청주하나로,충청북도,[],충북 청주시 상당구 무농정로32,043.286.8882
6,남대전DT,대전,[],대전광역시 동구 대전로 255,042.272.9897
7,영등포병원,서울,[],서울 영등포구 당산로 31길 10,02.2679.1999
8,영종하늘도시,인천,[],인천 중구 하늘별빛로 65번길 8-21,032.746.8497
9,파주야당,경기도,[],"경기도 파주시 경의로 1024,1층",031.941.8497
10,화성반월DI점,경기도,[],경기도 화성시 반월동 311-75  1층,031.267.4019
11,청주동남시티,충청북도,[],"충죽 청주시 상당구 중고개로 129, 1층",043.285.8350
12,신금호역,서울,[],서울 성동구 무수막길 95 솔베이그빌딩,02.2237.7842
13,경산중방DI,경상북도,[],"경상북도 경산시 중방동 909 1,2층",053.814.8497
14,평택세교DT점,경기도,[],경기도 평택시 세교동 436-1,031.651.8497
15,함안휴게소(순천),경상남도,[],경남 함안군 군북면 현포로 205-1,055.582.5470
16,부산사직,부산,[],"부산광역시 동래구 아시아드대로 141, 1층",051.501.8497
17,의왕역,경기도,[],경기도 의왕시 삼동 208-12,031.461.8625
18,대구법원,대구,[],"대구시 수성구 동대구로 371-1, 1층",053.753.8497
19,남양주알프하임,경기도,[],"경기도 남양주시 백봉로 32, B-2동 지1층 101~105호(호평동 두산 알프하임 상가동)",070.8806.8497
20,파주문산DI,경기도,[],"경기도 파주시 문산읍 우계로 424, 101호",031.953.8497
21,세종베스트웨스턴호텔,세종시특별자치시,[],"세종특별자치시 도움1로 7, 1층 111~116호(어진동540)",044.866.8497
22,천호로데오,서울,[],"서울시 강동구 구천면로 212, 1층",02.484.8497
23,유명산DI,경기도,[],경기도 가평군 어비산길 16,031.584.0507
24,창녕점,경상남도,[],경남 창녕군 창녕읍 화왕산로 134,055.532.8497
25,제주한라대,제주도,[],"제주특별자치도 제주시 고사마루길 2, 1층",064.744.8497
