지역, 온도, 습도
강릉,19.1,49
강진군,16.4,76
강화,13.8,56
거제,17.0,57
거창,12.9,71
경주시,17.0,60
고산,18.6,62
고창,13.9,89
고창군,14.6,82
고흥,16.9,69
광양시,17.3,63
광주,14.8,84
구미,14.3,69
군산,15.6,82
금산,11.5,81
김해시,16.1,59
남원,12.2,80
남해,16.1,59
대관령,10.9,74
대구,15.4,67
대전,14.0,88
동두천,12.8,76
동해,18.3,48
목포,16.3,77
문경,13.2,82
밀양,14.2,64
백령도,15.8,34
보령,17.3,69
보성군,18.6,62
보은,11.4,89
봉화,12.8,71
부산,19.3,45
부안,17.2,76
부여,11.0,100
북강릉,17.8,38
북창원,17.9,56
북춘천,11.5,96
산청,14.1,74
상주,15.4,76
서귀포,20.0,57
서산,16.2,63
서울,13.4,78
성산,18.8,59
세종,14.2,79
속초,17.8,33
수원,14.5,81
순창군,11.7,88
순천,16.7,70
안동,12.3,78
양산시,18.0,51
양평,12.3,82
여수,17.6,61
영광군,15.9,82
영덕,17.4,58
영월,11.1,90
영주,15.3,67
영천,15.0,67
완도,18.3,68
울릉도,18.1,59
울산,17.8,52
울진,18.4,52
원주,12.1,77
의령군,14.9,67
의성,11.3,84
이천,11.1,100
인제,12.1,92
인천,13.7,52
임실,11.7,82
장수,11.9,79
장흥,16.3,75
전주,15.2,73
정선군,14.8,65
정읍,14.6,84
제주,20.8,59
제천,13.3,79
진도군,17.9,75
진주,15.3,66
창원,17.9,49
천안,13.6,90
철원,8.8,100
청송군,13.0,66
청주,14.0,78
추풍령,13.4,74
춘천,11.7,89
충주,13.3,82
태백,12.8,57
통영,18.2,52
파주,13.1,80
포항,17.4,60
함양군,13.6,70
합천,14.3,76
해남,15.8,76
홍성,16.7,67
홍천,11.4,81
흑산도,17.7,76
